"meta:instanceID","id","qr_ozone","qr_no2","qr_h2s","qr_so2","Location:Latitude","Location:Longitude","Location:Altitude","Location:Accuracy","sunorshade","photo","install_time","notes"
"uuid:1e2807e4-a89f-4b84-a647-5b10a4120aeb","30",,,,,"39.2730029200","-76.6311977200","-29.0000000000","4.0000000000","partial","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1e2807e4-a89f-4b84-a647-5b10a4120aeb%5D%2Fphoto","Tue Sep 19 17:27:54 UTC 2017","Second chance"
"uuid:e358fce8-f81a-4cfb-83ae-36fb42d18eb1","37",,,,,"39.2729173400","-76.6313189700","-25.0000000000","5.0000000000","sun","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2017_1503427167%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae358fce8-f81a-4cfb-83ae-36fb42d18eb1%5D%2Fphoto","Tue Sep 19 17:37:43 UTC 2017","Second chance"
"uuid:1c0b2e7d-ac29-448e-bc10-f770a208fbfd","41","050217012436 110401 O3 1705 -10.33","071717010411 110501 NO2 1707 -43.28","071817010419 110303 H2S 1707 250.20","071217010752 110601 SO2 1707 39.08",,,,,,,"Tue Sep 19 20:20:52 UTC 2017",
"uuid:6fb1cb11-bc2f-4281-985f-11e77f18c85a","42","050217012417 110401 O3 1705 -14.58","071717010133 110501 NO2 1707 -38.16","071817010429 110303 H2S 1707 265.13","071217010737 110601 SO2 1707 40.87",,,,,,,"Tue Sep 19 20:31:28 UTC 2017",
"uuid:aba4d619-922e-45d1-b9ac-3c42693b812b","43","050217012445 110401 O3 1705 -12.3","071717010101 110501 NO2 1707 -39.06","071817010205 110303 H2S 1707 256.80","071217010733 110601 SO2 1707 37.55",,,,,,,"Tue Sep 19 20:38:30 UTC 2017",
"uuid:6065f3c0-0438-427b-bae8-9cb7d9152856","44","050217012442 110401 O3 1705 -12.93","071717010439 110501 NO2 1707 -44.62","071817010454 110303 H2S 1707 254.39","071217010717 110601 SO2 1707 38.93",,,,,,,"Tue Sep 19 20:45:00 UTC 2017",
"uuid:1ffdaabc-ccb2-4def-adee-bc3e1b14f5e1","45","050217012403 110401 O3 1705 -10.5","071717010408 110501 NO2 1707 -39.43","071817010452 110303 H2S 1707 285.62","071217010728 110601 SO2 1707 37.53",,,,,,,"Tue Sep 19 20:50:37 UTC 2017",
"uuid:6dbf7dd6-589e-4edd-b282-a724ab7a0b8a","46","050217012307 110401 O3 1705 -11.39","071717010107 110501 NO2 1707 -36.00","071817010456 110303 H2S 1707 273.60","071217010747 110601 SO2 1707 39.87",,,,,,,"Tue Sep 19 20:56:56 UTC 2017",
"uuid:30d6545d-0d2c-4f29-8b89-4bfb631fa38d","47","050217012222 110401 O3 1705 -11.3","071717010459 110501 NO2 1707 -43.55","071817010435 110303 H2S 1707 299.97","071217010710 110601 SO2 1707 37.03",,,,,,,"Tue Sep 19 21:01:02 UTC 2017",

